replicate,block,temp,rh,evap,tray_no,development_time,development_rate
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,8,0.125
35-75-C-2,1,35,75,C,2,9,0.1111111111111111
35-75-C-2,1,35,75,C,2,9,0.1111111111111111
35-75-C-2,1,35,75,C,2,10,0.1
35-75-C-3,1,35,75,C,3,6,0.16666666666666666
35-75-C-3,1,35,75,C,3,6,0.16666666666666666
35-75-C-3,1,35,75,C,3,6,0.16666666666666666
35-75-C-3,1,35,75,C,3,6,0.16666666666666666
35-75-C-3,1,35,75,C,3,6,0.16666666666666666
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,7,0.14285714285714285
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-3,1,35,75,C,3,8,0.125
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,6,0.16666666666666666
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,7,0.14285714285714285
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,8,0.125
35-75-C-4,1,35,75,C,4,11,0.09090909090909091
35-75-C-4,1,35,75,C,4,11,0.09090909090909091
35-75-C-4,1,35,75,C,4,12,0.08333333333333333
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,6,0.16666666666666666
35-75-E-2,1,35,75,E,2,7,0.14285714285714285
35-75-E-2,1,35,75,E,2,7,0.14285714285714285
35-75-E-2,1,35,75,E,2,7,0.14285714285714285
35-75-E-2,1,35,75,E,2,7,0.14285714285714285
